scenario,step,timestamp_ms,value,confidence,expected
steady_nominal,5,2400,0.5,0.9,0
steady_nominal,6,2800,0.5,0.9,0
steady_nominal,7,3200,0.5,0.9,0
steady_nominal,8,3600,0.5,0.9,0
steady_nominal,9,4000,0.5,0.9,0
steady_nominal,10,4400,0.5,0.9,0
steady_nominal,11,4800,0.5,0.9,0
steady_nominal,12,5200,0.5,0.9,0
steady_nominal,13,5600,0.5,0.9,0
steady_nominal,14,6000,0.5,0.9,0
steady_nominal,15,6400,0.5,0.9,0
steady_nominal,16,6800,0.5,0.9,0
steady_nominal,17,7200,0.5,0.9,0
steady_nominal,18,7600,0.5,0.9,0
steady_nominal,19,8000,0.5,0.9,0
steady_nominal,20,8400,0.5,0.9,0
steady_nominal,21,8800,0.5,0.9,0
steady_nominal,22,9200,0.5,0.9,0
steady_nominal,23,9600,0.5,0.9,0
steady_nominal,24,10000,0.5,0.9,0
steady_nominal,25,10400,0.5,0.9,0
steady_nominal,26,10800,0.5,0.9,0
steady_nominal,27,11200,0.5,0.9,0
steady_nominal,28,11600,0.5,0.9,0
steady_nominal,29,12000,0.5,0.9,0
slow_ramp_challenge,0,400,0.5,0.9,
slow_ramp_challenge,1,800,0.5,0.9,
slow_ramp_challenge,2,1200,0.5,0.9,
slow_ramp_challenge,3,1600,0.5,0.9,
slow_ramp_challenge,4,2000,0.5,0.9,
slow_ramp_challenge,5,2400,0.5,0.9,
slow_ramp_challenge,6,2800,0.5022613065326633,0.9,
slow_ramp_challenge,7,3200,0.5045226130653266,0.9,
slow_ramp_challenge,8,3600,0.50678391959799,0.9,
slow_ramp_challenge,9,4000,0.5090452261306533,0.9,
slow_ramp_challenge,10,4400,0.5113065326633166,0.9,
slow_ramp_challenge,11,4800,0.5135678391959799,0.9,
slow_ramp_challenge,12,5200,0.5158291457286432,0.9,
slow_ramp_challenge,13,5600,0.5180904522613066,0.9,
slow_ramp_challenge,14,6000,0.5203517587939699,0.9,
slow_ramp_challenge,15,6400,0.5226130653266332,0.9,
slow_ramp_challenge,16,6800,0.5248743718592965,0.9,
slow_ramp_challenge,17,7200,0.5271356783919598,0.9,
slow_ramp_challenge,18,7600,0.5293969849246232,0.9,
slow_ramp_challenge,19,8000,0.5316582914572864,0.9,
slow_ramp_challenge,20,8400,0.5339195979899497,0.9,
slow_ramp_challenge,21,8800,0.536180904522613,0.9,
slow_ramp_challenge,22,9200,0.5384422110552763,0.9,
slow_ramp_challenge,23,9600,0.5407035175879397,0.9,
slow_ramp_challenge,24,10000,0.542964824120603,0.9,
slow_ramp_challenge,25,10400,0.5452261306532663,0.9,
slow_ramp_challenge,26,10800,0.5474874371859296,0.9,
slow_ramp_challenge,27,11200,0.549748743718593,0.9,
slow_ramp_challenge,28,11600,0.5520100502512563,0.9,
slow_ramp_challenge,29,12000,0.5542713567839196,0.9,
slow_ramp_challenge,30,12400,0.5565326633165829,0.9,
slow_ramp_challenge,31,12800,0.5587939698492462,0.9,
slow_ramp_challenge,32,13200,0.5610552763819096,0.9,
slow_ramp_challenge,33,13600,0.5633165829145729,0.9,
slow_ramp_challenge,34,14000,0.5655778894472362,0.9,
slow_ramp_challenge,35,14400,0.5678391959798995,0.9,
slow_ramp_challenge,36,14800,0.5701005025125628,0.9,
slow_ramp_challenge,37,15200,0.5723618090452262,0.9,
slow_ramp_challenge,38,15600,0.5746231155778895,0.9,
slow_ramp_challenge,39,16000,0.5768844221105528,0.9,
slow_ramp_challenge,40,16400,0.5791457286432161,0.9,
slow_ramp_challenge,41,16800,0.5814070351758794,0.9,
slow_ramp_challenge,42,17200,0.5836683417085426,0.9,
slow_ramp_challenge,43,17600,0.585929648241206,0.9,
slow_ramp_challenge,44,18000,0.5881909547738693,0.9,
slow_ramp_challenge,45,18400,0.5904522613065326,0.9,
slow_ramp_challenge,46,18800,0.5927135678391959,0.9,
slow_ramp_challenge,47,19200,0.5949748743718593,0.9,
slow_ramp_challenge,48,19600,0.5972361809045226,0.9,
slow_ramp_challenge,49,20000,0.5994974874371859,0.9,
slow_ramp_challenge,50,20400,0.6017587939698492,0.9,
slow_ramp_challenge,51,20800,0.6040201005025125,0.9,
slow_ramp_challenge,52,21200,0.6062814070351759,0.9,
slow_ramp_challenge,53,21600,0.6085427135678392,0.9,
slow_ramp_challenge,54,22000,0.6108040201005025,0.9,
slow_ramp_challenge,55,22400,0.6130653266331658,0.9,
slow_ramp_challenge,56,22800,0.6153266331658291,0.9,
slow_ramp_challenge,57,23200,0.6175879396984925,0.9,
slow_ramp_challenge,58,23600,0.6198492462311558,0.9,
slow_ramp_challenge,59,24000,0.6221105527638191,0.9,
slow_ramp_challenge,60,24400,0.6243718592964824,0.9,
slow_ramp_challenge,61,24800,0.6266331658291457,0.9,
slow_ramp_challenge,62,25200,0.6288944723618091,0.9,
slow_ramp_challenge,63,25600,0.6311557788944724,0.9,
slow_ramp_challenge,64,26000,0.6334170854271357,0.9,
slow_ramp_challenge,65,26400,0.635678391959799,0.9,
slow_ramp_challenge,66,26800,0.6379396984924623,0.9,
slow_ramp_challenge,67,27200,0.6402010050251257,0.9,
slow_ramp_challenge,68,27600,0.642462311557789,0.9,
slow_ramp_challenge,69,28000,0.6447236180904523,0.9,
slow_ramp_challenge,70,28400,0.6469849246231155,0.9,
slow_ramp_challenge,71,28800,0.6492462311557788,0.9,
slow_ramp_challenge,72,29200,0.6515075376884423,0.9,
slow_ramp_challenge,73,29600,0.6537688442211055,0.9,
slow_ramp_challenge,74,30000,0.6560301507537688,0.9,
slow_ramp_challenge,75,30400,0.6582914572864321,0.9,
slow_ramp_challenge,76,30800,0.6605527638190954,0.9,
slow_ramp_challenge,77,31200,0.6628140703517588,0.9,
slow_ramp_challenge,78,31600,0.6650753768844221,0.9,
slow_ramp_challenge,79,32000,0.6673366834170854,0.9,
slow_ramp_challenge,80,32400,0.6695979899497487,0.9,
slow_ramp_challenge,81,32800,0.671859296482412,0.9,
slow_ramp_challenge,82,33200,0.6741206030150754,0.9,
slow_ramp_challenge,83,33600,0.6763819095477387,0.9,
slow_ramp_challenge,84,34000,0.678643216080402,0.9,
slow_ramp_challenge,85,34400,0.6809045226130653,0.9,
slow_ramp_challenge,86,34800,0.6831658291457287,0.9,
slow_ramp_challenge,87,35200,0.685427135678392,0.9,
slow_ramp_challenge,88,35600,0.6876884422110552,0.9,
slow_ramp_challenge,89,36000,0.6899497487437186,0.9,
slow_ramp_challenge,90,36400,0.6922110552763818,0.9,
slow_ramp_challenge,91,36800,0.6944723618090451,0.9,
slow_ramp_challenge,92,37200,0.6967336683417085,0.9,
slow_ramp_challenge,93,37600,0.6989949748743718,0.9,
slow_ramp_challenge,94,38000,0.7012562814070351,0.9,
slow_ramp_challenge,95,38400,0.7035175879396984,0.9,
slow_ramp_challenge,96,38800,0.7057788944723618,0.9,
slow_ramp_challenge,97,39200,0.7080402010050251,0.9,
slow_ramp_challenge,98,39600,0.7103015075376884,0.9,
slow_ramp_challenge,99,40000,0.7125628140703517,0.9,
slow_ramp_challenge,100,40400,0.714824120603015,0.9,
slow_ramp_challenge,101,40800,0.7170854271356784,0.9,
slow_ramp_challenge,102,41200,0.7193467336683417,0.9,
slow_ramp_challenge,103,41600,0.721608040201005,0.9,
slow_ramp_challenge,104,42000,0.7238693467336683,0.9,
slow_ramp_challenge,105,42400,0.7261306532663316,0.9,
slow_ramp_challenge,106,42800,0.728391959798995,0.9,
slow_ramp_challenge,107,43200,0.7306532663316583,0.9,
slow_ramp_challenge,108,43600,0.7329145728643216,0.9,
slow_ramp_challenge,109,44000,0.7351758793969849,0.9,
slow_ramp_challenge,110,44400,0.7374371859296482,0.9,
slow_ramp_challenge,111,44800,0.7396984924623116,0.9,
slow_ramp_challenge,112,45200,0.7419597989949749,0.9,
slow_ramp_challenge,113,45600,0.7442211055276382,0.9,
slow_ramp_challenge,114,46000,0.7464824120603015,0.9,
slow_ramp_challenge,115,46400,0.7487437185929648,0.9,
slow_ramp_challenge,116,46800,0.7510050251256282,0.9,
slow_ramp_challenge,117,47200,0.7532663316582915,0.9,
slow_ramp_challenge,118,47600,0.7555276381909548,0.9,
slow_ramp_challenge,119,48000,0.7577889447236181,0.9,
slow_ramp_challenge,120,48400,0.7600502512562815,0.9,
slow_ramp_challenge,121,48800,0.7623115577889448,0.9,
slow_ramp_challenge,122,49200,0.764572864321608,0.9,
slow_ramp_challenge,123,49600,0.7668341708542713,0.9,
slow_ramp_challenge,124,50000,0.7690954773869347,0.9,
slow_ramp_challenge,125,50400,0.7713567839195979,0.9,
slow_ramp_challenge,126,50800,0.7736180904522613,0.9,
slow_ramp_challenge,127,51200,0.7758793969849246,0.9,
slow_ramp_challenge,128,51600,0.7781407035175879,0.9,
slow_ramp_challenge,129,52000,0.7804020100502512,0.9,
slow_ramp_challenge,130,52400,0.7826633165829145,0.9,
slow_ramp_challenge,131,52800,0.7849246231155779,0.9,
slow_ramp_challenge,132,53200,0.7871859296482412,0.9,
slow_ramp_challenge,133,53600,0.7894472361809045,0.9,
slow_ramp_challenge,134,54000,0.7917085427135678,0.9,
slow_ramp_challenge,135,54400,0.793969849246231,0.9,
slow_ramp_challenge,136,54800,0.7962311557788945,0.9,
slow_ramp_challenge,137,55200,0.7984924623115577,0.9,
slow_ramp_challenge,138,55600,0.800753768844221,0.9,
slow_ramp_challenge,139,56000,0.8030150753768844,0.9,
slow_ramp_challenge,140,56400,0.8052763819095476,0.9,
slow_ramp_challenge,141,56800,0.807537688442211,0.9,
slow_ramp_challenge,142,57200,0.8097989949748743,0.9,
slow_ramp_challenge,143,57600,0.8120603015075376,0.9,
slow_ramp_challenge,144,58000,0.8143216080402009,0.9,
slow_ramp_challenge,145,58400,0.8165829145728642,0.9,
slow_ramp_challenge,146,58800,0.8188442211055276,0.9,
slow_ramp_challenge,147,59200,0.8211055276381909,0.9,
slow_ramp_challenge,148,59600,0.8233668341708542,0.9,
slow_ramp_challenge,149,60000,0.8256281407035175,0.9,
slow_ramp_challenge,150,60400,0.8278894472361809,0.9,
slow_ramp_challenge,151,60800,0.8301507537688442,0.9,
slow_ramp_challenge,152,61200,0.8324120603015075,0.9,
slow_ramp_challenge,153,61600,0.8346733668341708,0.9,
slow_ramp_challenge,154,62000,0.8369346733668341,0.9,
slow_ramp_challenge,155,62400,0.8391959798994975,0.9,
slow_ramp_challenge,156,62800,0.8414572864321608,0.9,
slow_ramp_challenge,157,63200,0.8437185929648241,0.9,
slow_ramp_challenge,158,63600,0.8459798994974874,0.9,
slow_ramp_challenge,159,64000,0.8482412060301507,0.9,
slow_ramp_challenge,160,64400,0.8505025125628141,0.9,
slow_ramp_challenge,161,64800,0.8527638190954774,0.9,
slow_ramp_challenge,162,65200,0.8550251256281407,0.9,
slow_ramp_challenge,163,65600,0.857286432160804,0.9,
slow_ramp_challenge,164,66000,0.8595477386934673,0.9,
slow_ramp_challenge,165,66400,0.8618090452261307,0.9,
slow_ramp_challenge,166,66800,0.864070351758794,0.9,
slow_ramp_challenge,167,67200,0.8663316582914573,0.9,
slow_ramp_challenge,168,67600,0.8685929648241206,0.9,
slow_ramp_challenge,169,68000,0.870854271356784,0.9,
slow_ramp_challenge,170,68400,0.8731155778894472,0.9,
slow_ramp_challenge,171,68800,0.8753768844221105,0.9,
slow_ramp_challenge,172,69200,0.8776381909547738,0.9,
slow_ramp_challenge,173,69600,0.8798994974874372,0.9,
slow_ramp_challenge,174,70000,0.8821608040201006,0.9,
slow_ramp_challenge,175,70400,0.8844221105527638,0.9,
slow_ramp_challenge,176,70800,0.8866834170854271,0.9,
slow_ramp_challenge,177,71200,0.8889447236180904,0.9,
slow_ramp_challenge,178,71600,0.8912060301507537,0.9,
slow_ramp_challenge,179,72000,0.893467336683417,0.9,
slow_ramp_challenge,180,72400,0.8957286432160803,0.9,
slow_ramp_challenge,181,72800,0.8979899497487437,0.9,
slow_ramp_challenge,182,73200,0.900251256281407,0.9,
slow_ramp_challenge,183,73600,0.9025125628140703,0.9,
slow_ramp_challenge,184,74000,0.9047738693467337,0.9,
slow_ramp_challenge,185,74400,0.9070351758793969,0.9,
slow_ramp_challenge,186,74800,0.9092964824120602,0.9,
slow_ramp_challenge,187,75200,0.9115577889447235,0.9,
slow_ramp_challenge,188,75600,0.9138190954773869,0.9,
slow_ramp_challenge,189,76000,0.9160804020100503,0.9,
slow_ramp_challenge,190,76400,0.9183417085427135,0.9,
slow_ramp_challenge,191,76800,0.9206030150753768,0.9,
slow_ramp_challenge,192,77200,0.9228643216080401,0.9,
slow_ramp_challenge,193,77600,0.9251256281407034,0.9,
slow_ramp_challenge,194,78000,0.9273869346733667,0.9,
slow_ramp_challenge,195,78400,0.9296482412060301,0.9,
slow_ramp_challenge,196,78800,0.9319095477386934,0.9,
slow_ramp_challenge,197,79200,0.9341708542713567,0.9,
slow_ramp_challenge,198,79600,0.93643216080402,0.9,
slow_ramp_challenge,199,80000,0.9386934673366834,0.9,
slow_ramp_challenge,200,80400,0.9409547738693467,0.9,
slow_ramp_challenge,201,80800,0.94321608040201,0.9,
slow_ramp_challenge,202,81200,0.9454773869346733,0.9,
slow_ramp_challenge,203,81600,0.9477386934673366,0.9,
slow_ramp_challenge,204,82000,0.95,0.9,
slow_ramp_challenge,205,82400,0.95,0.9,
slow_ramp_challenge,206,82800,0.95,0.9,
slow_ramp_challenge,207,83200,0.95,0.9,
slow_ramp_challenge,208,83600,0.95,0.9,
slow_ramp_challenge,209,84000,0.95,0.9,
slow_ramp_challenge,210,84400,0.95,0.9,
slow_ramp_challenge,211,84800,0.95,0.9,
slow_ramp_challenge,212,85200,0.95,0.9,
slow_ramp_challenge,213,85600,0.95,0.9,
slow_ramp_challenge,214,86000,0.95,0.9,
shifted_baseline_challenge,0,400,0.7,0.9,
shifted_baseline_challenge,1,800,0.7,0.9,
shifted_baseline_challenge,2,1200,0.7,0.9,
shifted_baseline_challenge,3,1600,0.7,0.9,
shifted_baseline_challenge,4,2000,0.7,0.9,
shifted_baseline_challenge,5,2400,0.7,0.9,
shifted_baseline_challenge,6,2800,0.7,0.9,
shifted_baseline_challenge,7,3200,0.7,0.9,
shifted_baseline_challenge,8,3600,0.7,0.9,
shifted_baseline_challenge,9,4000,0.7,0.9,
shifted_baseline_challenge,10,4400,0.7,0.9,
shifted_baseline_challenge,11,4800,0.7,0.9,
shifted_baseline_challenge,12,5200,0.7,0.9,
shifted_baseline_challenge,13,5600,0.7,0.9,
shifted_baseline_challenge,14,6000,0.7,0.9,
shifted_baseline_challenge,15,6400,0.7,0.9,
shifted_baseline_challenge,16,6800,0.7,0.9,
shifted_baseline_challenge,17,7200,0.7,0.9,
shifted_baseline_challenge,18,7600,0.7,0.9,
shifted_baseline_challenge,19,8000,0.7,0.9,
shifted_baseline_challenge,20,8400,0.95,0.9,
shifted_baseline_challenge,21,8800,0.95,0.9,
shifted_baseline_challenge,22,9200,0.95,0.9,
shifted_baseline_challenge,23,9600,0.95,0.9,
shifted_baseline_challenge,24,10000,0.95,0.9,
shifted_baseline_challenge,25,10400,0.95,0.9,
shifted_baseline_challenge,26,10800,0.95,0.9,
shifted_baseline_challenge,27,11200,0.95,0.9,
shifted_baseline_challenge,28,11600,0.95,0.9,
shifted_baseline_challenge,29,12000,0.95,0.9,
shifted_baseline_challenge,30,12400,0.95,0.9,
shifted_baseline_challenge,31,12800,0.95,0.9,
shifted_baseline_challenge,32,13200,0.95,0.9,
shifted_baseline_challenge,33,13600,0.95,0.9,
shifted_baseline_challenge,34,14000,0.95,0.9,
shifted_baseline_challenge,35,14400,0.95,0.9,
shifted_baseline_challenge,36,14800,0.95,0.9,
shifted_baseline_challenge,37,15200,0.95,0.9,
shifted_baseline_challenge,38,15600,0.95,0.9,
shifted_baseline_challenge,39,16000,0.95,0.9,
shifted_baseline_challenge,40,16400,0.95,0.9,
shifted_baseline_challenge,41,16800,0.95,0.9,
shifted_baseline_challenge,42,17200,0.95,0.9,
shifted_baseline_challenge,43,17600,0.95,0.9,
shifted_baseline_challenge,44,18000,0.95,0.9,
shifted_baseline_challenge,45,18400,0.95,0.9,
shifted_baseline_challenge,46,18800,0.95,0.9,
shifted_baseline_challenge,47,19200,0.95,0.9,
shifted_baseline_challenge,48,19600,0.95,0.9,
shifted_baseline_challenge,49,20000,0.95,0.9,
shifted_baseline_challenge,50,20400,0.7,0.9,
shifted_baseline_challenge,51,20800,0.7,0.9,
shifted_baseline_challenge,52,21200,0.7,0.9,
shifted_baseline_challenge,53,21600,0.7,0.9,
shifted_baseline_challenge,54,22000,0.7,0.9,
